epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,6787.47,0.21678,0.28462,0.18315,0.79124,0,0.99919,0.99724,0.99499,0.99214,0.99913,0.99719,0.99499,0.96466,0.16097,0.24477,0.0924,0.75826,0,0.00124111,0.00124111,0.00124111
87,6866.61,0.21427,0.28042,0.17983,0.791,0,0.99918,0.99739,0.99499,0.99197,0.99913,0.99733,0.99499,0.96467,0.16079,0.24465,0.09228,0.75825,0,0.00122596,0.00122596,0.00122596
88,6945.85,0.21447,0.2809,0.1807,0.7901,0,0.99917,0.99742,0.99499,0.99187,0.99911,0.99737,0.99499,0.96466,0.16086,0.24464,0.0922,0.75823,0,0.00121076,0.00121076,0.00121076
89,7024.53,0.21412,0.28074,0.17998,0.79074,0,0.99915,0.99744,0.99499,0.99205,0.99909,0.99738,0.99499,0.96484,0.16061,0.2445,0.09211,0.75821,0,0.00119551,0.00119551,0.00119551
90,7103.78,0.21434,0.27969,0.18109,0.79064,0,0.99925,0.99738,0.99499,0.99214,0.99919,0.99732,0.99499,0.96473,0.16057,0.24452,0.09207,0.75817,0,0.00118021,0.00118021,0.00118021
91,7182.52,0.21414,0.28161,0.1794,0.79106,0,0.99922,0.99736,0.99499,0.99213,0.99917,0.9973,0.99499,0.96477,0.16052,0.24439,0.09197,0.75816,0,0.00116487,0.00116487,0.00116487
92,7261.74,0.21412,0.27752,0.17928,0.79025,0,0.99922,0.99736,0.99499,0.99204,0.99916,0.9973,0.99499,0.96486,0.16051,0.24433,0.09197,0.75814,0,0.00114949,0.00114949,0.00114949
93,7341.01,0.21299,0.27766,0.1797,0.79052,0,0.9992,0.99734,0.99499,0.99205,0.99915,0.99728,0.99499,0.96459,0.1604,0.24425,0.09193,0.75812,0,0.00113408,0.00113408,0.00113408
94,7420.12,0.21427,0.27876,0.17986,0.79137,0,0.99921,0.99734,0.99499,0.99205,0.99915,0.99729,0.99499,0.96478,0.16035,0.24414,0.09178,0.7581,0,0.00111864,0.00111864,0.00111864
95,7499.42,0.2124,0.27914,0.17665,0.79012,0,0.9992,0.99735,0.99499,0.99206,0.99915,0.99729,0.99499,0.96461,0.16024,0.24396,0.09165,0.75806,0,0.00110317,0.00110317,0.00110317
96,7578.25,0.21208,0.27633,0.17666,0.79008,0,0.99917,0.99732,0.99499,0.99207,0.99911,0.99726,0.99499,0.96463,0.16011,0.24384,0.09163,0.75802,0,0.00108767,0.00108767,0.00108767
97,7657.48,0.21253,0.27658,0.1778,0.78968,0,0.99918,0.99732,0.99499,0.99215,0.99912,0.99726,0.99499,0.96471,0.16019,0.24375,0.09155,0.75801,0,0.00107216,0.00107216,0.00107216
98,7736.4,0.21219,0.27665,0.17633,0.79053,0,0.99917,0.99732,0.99499,0.99214,0.99911,0.99726,0.99499,0.96482,0.16002,0.24368,0.09156,0.75799,0,0.00105664,0.00105664,0.00105664
99,7815.97,0.21133,0.27601,0.17657,0.79044,0,0.99916,0.99731,0.99499,0.99216,0.9991,0.99725,0.99499,0.96484,0.16026,0.24371,0.0916,0.758,0,0.0010411,0.0010411,0.0010411
100,7895.08,0.21266,0.27716,0.17643,0.79029,0,0.99915,0.99731,0.99499,0.99216,0.99909,0.99725,0.99499,0.9649,0.16018,0.24371,0.09145,0.75801,0,0.00102555,0.00102555,0.00102555
101,7974.3,0.21085,0.27584,0.17459,0.79007,0,0.99919,0.9973,0.99499,0.99219,0.99913,0.99724,0.99499,0.96507,0.16017,0.24368,0.09151,0.75798,0,0.00101,0.00101,0.00101
102,8053.75,0.20994,0.27493,0.17286,0.78945,0,0.99915,0.99729,0.99499,0.99207,0.99909,0.99723,0.99499,0.96494,0.16019,0.24366,0.09129,0.75797,0,0.00099445,0.00099445,0.00099445
103,8132.91,0.21116,0.27524,0.17391,0.78973,0,0.9993,0.99726,0.99499,0.99209,0.99925,0.9972,0.99499,0.96494,0.16004,0.24356,0.09123,0.75794,0,0.000978903,0.000978903,0.000978903
104,8212.15,0.21039,0.27605,0.17351,0.78969,0,0.99915,0.99733,0.99499,0.99206,0.9991,0.99727,0.99499,0.96505,0.15992,0.2434,0.09108,0.75791,0,0.000963365,0.000963365,0.000963365
105,8291.07,0.20976,0.27496,0.17313,0.79012,0,0.9991,0.99742,0.99499,0.99206,0.99904,0.99736,0.99499,0.96513,0.1599,0.24332,0.09102,0.7579,0,0.000947837,0.000947837,0.000947837
106,8370.44,0.20987,0.27554,0.17223,0.78915,0,0.99902,0.99746,0.99499,0.99207,0.99896,0.9974,0.99499,0.96508,0.15963,0.24317,0.09086,0.75787,0,0.000932325,0.000932325,0.000932325
